sgemm	5	11059200	24c84a50	229.901338000
sgemm	0	11059200	24c84a50	106.729688000
sgemm	1	11059200	24c84a50	278.693343000
sgemm	2	11059200	24c84a50	164.698923000
sgemm	4	11059200	24c84a50	57.916203000
sgemm	3	11059200	24c84a50	189.894107000
sgemm	1	11059200	24c84a50	133.532014000
sgemm	3	11059200	24c84a50	52.047537000
sgemm	2	11059200	24c84a50	179.770595000
sgemm	1	11059200	24c84a50	104.164215000
sgemm	0	11059200	24c84a50	237.730886000
sgemm	4	11059200	24c84a50	179.799668000
sgemm	3	11059200	24c84a50	132.095061000
sgemm	0	11059200	24c84a50	105.749177000
sgemm	6	11059200	24c84a50	513.843602000
sgemm	4	11059200	24c84a50	169.935522000
sgemm	1	11059200	24c84a50	169.958214000
sgemm	3	11059200	24c84a50	168.560578000
sgemm	4	11059200	24c84a50	108.290094000
sgemm	5	11059200	24c84a50	516.007630000
sgemm	0	11059200	24c84a50	172.504975000
sgemm	3	11059200	24c84a50	106.882229000
strsm	0	7372800	ff82dda0	56.289117000
sgemm	1	11059200	24c84a50	164.859687000
sgemm	3	11059200	24c84a50	164.556996000
sgemm	6	11059200	24c84a50	300.265649000
ssyrk	0	7372800	ff82dda0	134.906259000
sgemm	5	11059200	24c84a50	191.329577000
sgemm	2	11059200	24c84a50	469.628854000
ssyrk	4	7372800	ff82dda0	191.352016000
sgemm	5	11059200	24c84a50	71.289138000
